msg,cat,idx
12 12 12 12 12 12 5 0,1 1 1 1 1,57483
12 12 12 12 12 12 5 0,1 1 1 1 1,99279
12 12 12 12 12 12 5 0,1 1 1 1 1,143019
12 12 12 12 12 12 5 0,1 1 1 1 1,121392
12 12 12 12 12 12 5 0,1 1 1 1 1,126252
12 12 12 12 12 12 5 0,1 1 1 1 1,237303
12 12 12 12 12 12 5 0,1 1 1 1 1,175581
12 12 12 12 12 12 5 0,1 1 1 1 1,135486
12 12 12 12 12 12 5 0,1 1 1 1 1,237789
12 12 12 12 12 12 5 0,1 1 1 1 1,86400
12 12 12 12 12 12 5 0,1 1 1 1 1,92961
12 12 12 12 12 12 5 0,1 1 1 1 1,150795
12 12 12 12 12 12 5 0,1 1 1 1 1,211302
12 12 12 12 12 12 5 0,1 1 1 1 1,237303
12 12 12 12 12 12 5 0,1 1 1 1 1,117747
12 12 12 12 12 12 5 0,1 1 1 1 1,57969
12 12 12 12 12 12 5 0,1 1 1 1 1,9612
12 12 12 12 12 12 5 0,1 1 1 1 1,109242
12 12 12 12 12 12 5 0,1 1 1 1 1,67689
12 12 12 12 12 12 5 0,1 1 1 1 1,86400
12 12 12 12 12 12 5 0,1 1 1 1 1,233901
12 12 12 12 12 12 5 0,1 1 1 1 1,35856
12 12 12 12 12 12 5 0,1 1 1 1 1,144477
12 12 12 12 12 12 5 0,1 1 1 1 1,18603
12 12 12 12 12 12 5 0,1 1 1 1 1,237789
12 12 12 12 12 12 5 0,1 1 1 1 1,18603
12 12 12 12 12 12 5 0,1 1 1 1 1,81297
12 12 12 12 12 12 5 0,1 1 1 1 1,107298
12 12 12 12 12 12 5 0,1 1 1 1 1,86157
12 12 12 12 12 12 5 0,1 1 1 1 1,129168
12 12 12 12 12 12 5 0,1 1 1 1 1,54810
12 12 12 12 12 12 5 0,1 1 1 1 1,66960
12 12 12 12 12 12 5 0,1 1 1 1 1,42660
12 12 12 12 12 12 5 0,1 1 1 1 1,216405
12 12 12 12 12 12 5 0,1 1 1 1 1,135486
12 12 12 12 12 12 5 0,1 1 1 1 1,119448
12 12 12 12 12 12 5 0,1 1 1 1 1,27594
12 12 12 12 12 12 5 0,1 1 1 1 1,19818
12 12 12 12 12 12 5 0,1 1 1 1 1,224181
12 12 12 12 12 12 5 0,1 1 1 1 1,23706
12 12 12 12 12 12 5 0,1 1 1 1 1,182871
12 12 12 12 12 12 5 0,1 1 1 1 1,63315
12 12 12 12 12 12 5 0,1 1 1 1 1,86157
12 12 12 12 12 12 5 0,1 1 1 1 1,233901
12 12 12 12 12 12 5 0,1 1 1 1 1,12528
12 12 12 12 12 12 5 0,1 1 1 1 1,132084
12 12 12 12 12 12 5 0,1 1 1 1 1,51165
12 12 12 12 12 12 5 0,1 1 1 1 1,77409
12 12 12 12 12 12 5 0,1 1 1 1 1,200610
12 12 12 12 12 12 5 0,1 1 1 1 1,80325
12 12 12 12 12 12 5 0,1 1 1 1 1,216162
12 12 12 12 12 12 5 0,1 1 1 1 1,59670
12 12 12 12 12 12 5 0,1 1 1 1 1,228312
12 12 12 12 12 12 5 0,1 1 1 1 1,172908
12 12 12 12 12 12 5 0,1 1 1 1 1,167076
12 12 12 12 12 12 5 0,1 1 1 1 1,26622
12 12 12 12 12 12 5 0,1 1 1 1 1,187731
12 12 12 12 12 12 5 0,1 1 1 1 1,57483
12 12 12 12 12 12 5 0,1 1 1 1 1,57969
12 12 12 12 12 12 5 0,1 1 1 1 1,54081
12 12 12 12 12 12 5 0,1 1 1 1 1,197937
12 12 12 12 12 12 5 0,1 1 1 1 1,85428
